11,Programer,PT. Infocipta Polanusa,Senior Web Programmer,icp.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jakarta Utara,Full Time,Karyawan Kontrak,Junior,D3,-,29,Menguasai coding di PHP,Minimal 2 tahun dalam bidang PHP Programmer,"Familiar menggunakan Frameworks (Code Igniter, Smarty, DNN, dll)","Menguasai: laravel, NodeJS, Python, jQuery, Ajax, JavaScript, HTML, HTML5 (multimedia) CSS, C + / C ++","Memastikan pekerjaan coding yang rapi/teratur, efesian, tepat waktu dan sesuai requirement",Berkoordinasi dan berkolaborasi dengan Team Leader dan Programmer lain dalam mengerjakan tugas,,,,8
12,Programer,"KREASI SEJAHTERA TEKNOLOGI, PT",PHP Programmer,ks.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jakarta Utara,Part Time,Freelance,Middle,S1,-,25,Experience: Min. 2 years,"Skills: PHP, HTML5, CSS3, Javascript, MySQL, JQuery","Plus: Used Zend Framework, have server knowledge, and speak English","Responsibility: creating things, building things, write codes, and enjoy things",,,,,,12
13,Programer,"AIVON MEDIATAMA, PT",IT UI Programmer,alvonmediatma.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,DKI Jakarta,Jakarta Pusat,Part Time,Karyawan Tetap,Senior,S2,-,30,Minimum 3 years experience with c# /ASP.NET / VB.NET & Working with SQL Server,"Strong experience designing & working with architectures ( UI , Business Logic Layer, Data Access Layer )",Ability to design & optimize SQL Server 2008 stored procedures,"Candidated should be a self - motivated , independent, detail oriented, responsible team-layer & good attiude",Passionate about building high - quality systems with software implementation best practices,"Required skill : C#,ASP.NET, NET 3.5 / 4.0 Framework, minimum SQL Server 2000","Participate in a small, experienced , energetic team on a rapid developemnt schedule",,,13
14,Programer,PT Indorack Multikreasi,Web Programmer,indorack.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Jl. Otomen 428, Jatiuwung, Tangerang",Part Time,Karyawan Kontrak,Junior,S1,-,Max 29,Candidate must possess at least a Computer Science/Information Technology or equivalent,Familiar with software programs and ERP system,"Maintaning, expanding and scaling our site",integrate data from various back-end service and databases,,,,,,8
15,Programer,PT Perkasa Internusa Mandiri,Senior Programmer,pi.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Ruko Bussines Park Tangerang City unit F No.37, Tangerang",Full Time,Karyawan Kontrak,Middle,S1,-,Max 30,Candidate must possess at least a Computer Science/Information Technology or equivalent,Required Visual Basic and English,"Expertise in HTML, Jacascrit, CSS, JQuery, OOP Programming, C3, Ms Sql",Highsense of responsibility,Can work in a team and under pressure,,,,,10
16,Programer,PT Altastratus Indonesia,Senior PHP - Node JS Programmer,alastrus.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,Jl. Hartono Raya Blok GM 7 No.11 Tangerang,Full Time,Karyawan Tetap,Senior,S2,-,Max 35,Candidate must possess at least a Computer Science/Information Technology or equivalent(Masters degree is a plus),Proficiency in written and spoken english,5 years of software development experience is a plus,Open source development experience is a plus,Experience in agile working environment,Expert in building scalable RESTful web API,"Expert in data manipulation and extraction using MySql, PL/SQL, No-Sql",,,13
17,Programer,PT Laysander Technology,IT Programmer,lay.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Jl. Pahlawan Seribu, Ruko Golden Boulevard Blok R21, BSD City, Tangerang",Full Time,Karyawan Kontrak,Junior,S1,-,Fresh Graduate,Menguasai Java,Dapat bekerja secara team,"Memperbaiki, modifikasi dan memperbarui program yang sudah ada",Mengetes website dan aplikasi ataupun program yang baru untuk menunjang kinerja kantor,,,,,,11
18,Programer,PT Catur Mitra Sejati Sentosa,IT Programmer,caturmitra.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Jl. Boulevard Gading Serpong, Tangerang, Banten",Full Time,Karyawan Tetap,Junior,S1,-,Fresh Graduate,Candidate must possess at least a Computer Science/Information Technology or equivalent,Familiar dengan SQL Server 2008,"Menguasai Ms.Dynamics NAV, C#.net dan ASP.net",,,,,,,13
19,Programer,PT Voltras Internasional,IT Programmer,vol.jpg,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Jl. Sutera Boulevard 10H No. 29-30, Alam Sutera Town Center, Tangerang Selatan",Full Time,Karyawan Tetap,Junior,S1,-,25,Develop Java application in SDLC,Possess basic knowledge in airlines business process and rules,Computer Science / Information Technology or equivalent,"Ten fingers typing, passionate learner and good communication skill",Having skill on SQL and Database,"Having skill at least one of the following programming language : Java, VB, PHP, Delphi",,,,12
20,Programer,Yayasan Dompet Dhuafa Republika,IT Programmer,dompetduafa.png,Gaji dapat di negosiasikan dan informasi lebih lanjut pada saat wawancara,Banten,"Jl. Ir. H. Juanda No.50, Ciputat Tangerang 15419",Full Time,Karyawan Kontrak,Middle,D3,-,Max 30,Pria/Wanita,Bisa HTML-PHP-CSS,"Dapat menggunakan OOP, PDO dan transaction di PHP",Familiar dengan SQL dan RDBMS(MySql/Postgresql),Lebih disukai yang memiliki pengalaman mengelola web,,,,,9
