75,Networking,"PT Inti Bangun Sejahtera, Tbk",75,3,2,3,2,2,0,2,11
76,Networking,PT Multipolar Technology TBK,76,4,2,3,2,2,0,2,11
77,Networking,PT Citra Srigati Lestari (CSL),77,4,2,3,2,2,0,2,11
78,Networking,PT Mane Indonesia,78,4,2,1,1,1,0,3,8
79,Networking,PT Kotak Kreasi Digital,79,4,2,3,3,2,0,2,12
80,Networking,Vox Teneo Asia,80,4,2,3,1,2,0,3,11
81,Networking,Kiat Ananda Group,81,4,2,3,1,2,0,5,13
82,Networking,PT Infokes Indonesia (Bandung),82,4,2,3,1,2,0,3,11
83,Networking,PT. Tricada Intronik,83,4,3,3,1,2,0,3,12
84,Networking,Pt. Maxindo Mitra Solusi,84,1,1,3,1,2,0,4,11
85,Designer,"VitahealthIndonesia,PT",85,5,2,3,1,2,0,5,13
86,Designer,Sumber Bina Makmur PT ,86,5,1,1,1,1,0,2,6
87,Designer,Adika Prakarsa Indah PT,87,5,2,1,1,2,0,5,11
88,Designer,Jayafood Indonesia PT  ,88,5,2,3,1,2,0,2,10
89,Designer,Bhakti Adikarya Buana Abadi PT,89,5,2,3,1,2,0,5,13
90,Designer,Nelson Design Architect,90,5,2,1,1,2,2,3,11
91,Designer,Elektra Pratama Indonesia PT ,91,5,2,3,1,1,0,2,9
92,Designer,Bank Syariah Mandiri PT,92,5,1,3,1,1,0,5,11
93,Designer,Visual Studio Indonesia UD,93,5,2,3,2,2,0,5,14
94,Designer,Biggy Cemerlang PT,94,5,1,3,1,1,0,4,10
95,Designer,MNC GS Homeshopping PT,95,5,2,3,2,2,0,4,13
96,Designer,Senswell International PT,96,5,1,1,1,1,0,3,7
97,Designer,Elevenia,97,5,2,3,3,1,0,2,11
98,Designer,Linindo Pacific International Group,98,3,2,3,2,2,0,3,12
99,Designer,Nukegraphic Indonesia,99,3,2,3,1,2,0,3,11
100,Designer,PT Kie Indonesia (KUMON),100,3,2,3,1,2,0,4,12
101,Designer,PT. Centrinova Solusi Edukasi,101,3,2,3,1,2,0,5,13
102,Designer,PT Netpolitan Cipta Cemerlang,102,3,2,3,3,2,0,3,13
103,Designer,PT Netpolitan Cipta Cemerlang,103,3,2,3,2,2,0,3,12
104,Designer,PT Netpolitan Cipta Cemerlang,104,3,2,3,1,2,0,5,13
105,Designer,PT Bina Fajar Estetika (Tuneeca) ,105,4,2,3,3,2,0,2,12
106,Designer,PT Cipta Srigati Lestari (CSL),106,4,2,3,2,2,0,3,12
107,Designer,PT Tricada Intronik ,107,4,2,1,1,2,0,3,9
108,Designer,PT Apta Media Indonesia,108,4,2,3,1,2,0,3,11
109,Designer,PT Kie Indonesia (KUMON),109,4,2,3,1,2,0,4,12
110,Designer,PT Kie Indonesia (KUMON),110,4,2,3,1,2,0,4,12
111,Designer,PT Genesys Integrated Indonesia,111,1,2,3,2,2,0,2,11
112,Designer,PT Suryasoft Konsultama,112,1,2,3,2,1,0,2,10
113,Designer,PT Bimasakti Multi Sinergi,113,1,2,3,2,2,0,3,12
114,Designer,INDOSOFT,114,1,2,1,1,1,0,3,8
115,Designer,PT Dikasi Satu Digital,115,1,2,3,1,2,0,3,11
116,Designer,PT Chakra Naga Furniture,116,2,2,3,1,2,0,5,13
117,Designer,PT Rect Media Computindo,117,2,1,3,1,2,0,5,12
118,Software Developer,"KAIROS UTAMA INDONESIA, PT",118,5,1,3,1,2,0,2,9
119,Software Developer,"Global Toolsmarkt Indonesia, PT",119,5,1,3,2,2,0,2,10
120,Software Developer,Ako Media Asia PT,120,5,2,1,1,2,0,2,8
121,Software Developer,Fresh Grow International PT,121,5,2,1,1,2,0,3,9
122,Software Developer,Wahana Tri Optima Pantarai PT,122,5,2,3,1,2,0,3,11
123,Software Developer,Mavenlab Pte Ltd,123,5,2,3,2,2,0,2,11
124,Software Developer, TSM Technologies PT ,124,5,1,3,1,2,0,2,9
125,Software Developer,Pactera Jatis Indonesia PT,125,5,2,3,1,2,2,3,13
126,Software Developer,Malifax Indonesia PT,126,5,2,3,2,2,0,3,12
127,Software Developer,Antar Mitra Prakarsa PT ,127,5,2,3,1,2,2,4,14
128,Software Developer,Global Tiket Network PT,128,5,2,3,2,2,0,2,11
129,Software Developer,PT BSC Indonesia,129,5,1,3,2,2,0,3,11
130,Software Developer,"AIVON MEDIATAMA, PT",130,5,1,1,2,2,0,3,9
131,Software Developer,PT Lippo Karawaci Tbk,131,3,2,3,2,2,2,2,13
132,Software Developer,PT Multipolar Technology TBK,132,3,2,3,1,2,2,5,15
133,Software Developer,PT Inter Aneka Lestari Kimia,133,3,2,3,2,2,0,3,12
134,Software Developer,PT Teknotama Lingkungan Internusa (EcoStar Group),134,3,1,3,1,2,0,3,10
135,Software Developer,PT Mitra Konsultansi Indonesia,135,3,2,1,1,2,0,3,9
136,Software Developer,PT. Kwadran Lima Indonesia,136,3,2,3,2,2,0,2,11
137,Software Developer,PT Raksasa Laju Lintang (Ralali.com),137,3,2,3,2,2,0,3,12
138,Software Developer,PT. Centrinova Solusi Edukasi,138,3,2,3,1,2,0,5,13
139,Software Developer,12 Solutions,139,3,1,3,1,2,0,5,12
140,Software Developer,PT Anabatic Technologies Tbk,140,3,2,3,2,1,2,4,14
141,Software Developer,PT. Microsis,141,3,2,1,1,1,0,5,10
